,AnimalID,Date,OutcomeType,AnimalType,SexuponOutcome,Color,AgeOutcomeDays
7092,A705880,2015-06-30,Adoption,Cat,Neutered Male,Blueish,60
7093,A694717,2015-01-11,Adoption,Dog,Spayed Female,Blueish,730
7094,A711161,2015-09-07,Adoption,Dog,Spayed Female,Brownish,60
7095,A702171,2015-05-10,Euthanasia,Cat,Intact Female,Whitish,365
7096,A681698,2014-06-19,Euthanasia,Dog,Intact Male,Blackish,30
7097,A706521,2015-06-30,Transfer,Cat,Unknown,Other,7
7098,A709443,2015-08-16,Adoption,Dog,Neutered Male,Other,365
7099,A704959,2015-06-30,Adoption,Cat,Spayed Female,Other,60
7100,A700139,2015-04-20,Transfer,Cat,Intact Male,Brownish,28
7101,A668365,2014-01-14,Adoption,Dog,Neutered Male,Blackish,730
7102,A667523,2013-11-24,Adoption,Dog,Spayed Female,Blackish,730
7103,A704339,2015-06-06,Transfer,Cat,Unknown,Blackish,30
7104,A687004,2014-09-20,Adoption,Dog,Spayed Female,Brownish,1095
7105,A693844,2014-12-18,Transfer,Dog,Intact Male,Brownish,60
7106,A714262,2015-10-20,Return_to_owner,Dog,Intact Male,Whitish,730
7107,A671870,2014-02-05,Adoption,Dog,Spayed Female,Blackish,240
7108,A709018,2015-09-19,Adoption,Dog,Neutered Male,Blackish,330
7109,A664051,2014-02-15,Adoption,Dog,Spayed Female,Whitish,365
7110,A693821,2014-12-26,Adoption,Cat,Neutered Male,Blackish,5110
7111,A702914,2015-05-24,Adoption,Dog,Spayed Female,Brownish,60
7112,A704079,2015-06-01,Transfer,Cat,Unknown,Blueish,4
7113,A572590,2016-02-03,Transfer,Dog,Spayed Female,Brownish,2555
7114,A667269,2013-12-01,Adoption,Dog,Spayed Female,Brownish,730
7115,A668289,2013-12-06,Transfer,Cat,Spayed Female,Other,365
7116,A679513,2014-05-25,Transfer,Dog,Intact Male,Brownish,30
7117,A667054,2013-11-16,Transfer,Dog,Spayed Female,Other,5475
7118,A715319,2016-01-02,Adoption,Cat,Neutered Male,Brownish,90
7119,A693857,2014-12-22,Transfer,Cat,Intact Female,Blackish,3650
7120,A665210,2013-11-01,Adoption,Dog,Spayed Female,Whitish,365
7121,A676793,2014-04-15,Return_to_owner,Dog,Spayed Female,Blackish,730
7122,A668318,2014-01-14,Transfer,Dog,Neutered Male,Brownish,1095
7123,A700403,2015-04-13,Return_to_owner,Dog,Intact Female,Blackish,730
7124,A691127,2014-11-05,Return_to_owner,Dog,Neutered Male,Whitish,1460
7125,A642859,2014-04-19,Adoption,Dog,Spayed Female,Whitish,3285
7126,A702450,2015-05-17,Return_to_owner,Dog,Spayed Female,Brownish,365
7127,A716099,2015-11-22,Adoption,Dog,Spayed Female,Other,150
7128,A667532,2013-11-21,Euthanasia,Dog,Intact Male,Blackish,730
7129,A693922,2014-12-17,Return_to_owner,Cat,Spayed Female,Blackish,5475
7130,A711563,2015-09-13,Return_to_owner,Dog,Neutered Male,Blackish,1095
7131,A694905,2015-01-10,Adoption,Dog,Spayed Female,Brownish,730
7132,A718974,2016-01-11,Return_to_owner,Dog,Neutered Male,Other,730
7133,A705982,2015-06-24,Transfer,Cat,Intact Male,Other,365
7134,A616456,2014-09-18,Euthanasia,Dog,Spayed Female,Brownish,1095
7135,A708756,2015-08-06,Transfer,Cat,Spayed Female,Other,180
7136,A709193,2015-08-06,Transfer,Cat,Unknown,Whitish,150
7137,A642867,2015-02-05,Euthanasia,Cat,Spayed Female,Other,730
7138,A709280,2015-09-26,Adoption,Cat,Spayed Female,Blackish,120
7139,A712751,2015-10-03,Transfer,Cat,Intact Male,Orangeish,30
7140,A670357,2014-01-11,Adoption,Dog,Spayed Female,Brownish,60
7141,A711114,2015-09-07,Adoption,Dog,Spayed Female,Blackish,60
7142,A689102,2014-09-30,Return_to_owner,Dog,Neutered Male,Brownish,1095
7143,A685366,2014-09-14,Transfer,Dog,Neutered Male,Other,730
7144,A690567,2014-10-22,Transfer,Cat,Intact Female,Orangeish,21
7145,A663158,2013-11-03,Euthanasia,Dog,Neutered Male,Brownish,1460
7146,A695302,2015-07-23,Adoption,Dog,Spayed Female,Whitish,2190
7147,A697722,2015-02-28,Return_to_owner,Dog,Spayed Female,Blackish,730
7148,A681707,2014-07-04,Euthanasia,Cat,Intact Male,Brownish,30
7149,A675910,2014-04-02,Return_to_owner,Dog,Neutered Male,Blueish,2190
7150,A682230,2014-06-29,Transfer,Dog,Spayed Female,Whitish,180
7151,A430368,2014-02-21,Adoption,Dog,Neutered Male,Blackish,2555
7152,A671997,2014-02-07,Transfer,Dog,Neutered Male,Blackish,300
7153,A590957,2013-12-19,Return_to_owner,Dog,Neutered Male,Blueish,1460
7154,A695771,2015-05-25,Transfer,Cat,Neutered Male,Blueish,300
7155,A674191,2014-04-11,Adoption,Dog,Spayed Female,Other,365
7156,A714075,2015-11-11,Adoption,Dog,Spayed Female,Blackish,1095
7157,A691383,2014-11-04,Return_to_owner,Dog,Spayed Female,Other,1095
7158,A683624,2014-08-17,Adoption,Dog,Spayed Female,Blackish,1095
7159,A719128,2016-02-08,Adoption,Dog,Spayed Female,Brownish,730
7160,A667474,2014-01-03,Adoption,Dog,Spayed Female,Blueish,730
7161,A669292,2013-12-18,Transfer,Dog,Intact Female,Brownish,120
7162,A710381,2015-08-22,Transfer,Cat,Unknown,Orangeish,7
7163,A714784,2015-10-29,Euthanasia,Cat,Intact Male,Orangeish,28
7164,A697967,2015-03-08,Adoption,Dog,Spayed Female,Blackish,120
7165,A680480,2014-06-07,Adoption,Cat,Neutered Male,Blueish,60
7166,A691294,2014-11-07,Transfer,Dog,Spayed Female,Blueish,180
7167,A712807,2015-10-06,Transfer,Dog,Neutered Male,Brownish,300
7168,A671562,2014-02-04,Return_to_owner,Dog,Spayed Female,Brownish,730
7169,A673727,2014-03-01,Transfer,Dog,Intact Female,Blueish,30
7170,A665869,2013-11-07,Adoption,Dog,Neutered Male,Brownish,300
7171,A679673,2014-05-24,Transfer,Cat,Intact Female,Other,21
7172,A678289,2014-07-01,Adoption,Dog,Neutered Male,Brownish,30
7173,A687434,2014-10-12,Adoption,Cat,Spayed Female,Blackish,60
7174,A690710,2014-10-24,Return_to_owner,Dog,Spayed Female,Other,1825
7175,A712328,2015-09-25,Euthanasia,Cat,Intact Female,Blackish,3650
7176,A714886,2015-10-31,Transfer,Dog,Neutered Male,Blackish,180
7177,A714977,2015-11-07,Euthanasia,Cat,Intact Male,Brownish,30
7178,A704358,2015-06-04,Transfer,Cat,Unknown,Blackish,730
7179,A711817,2015-11-09,Adoption,Cat,Intact Female,Blackish,90
7180,A549167,2014-10-26,Adoption,Dog,Spayed Female,Whitish,2190
7181,A661676,2014-10-24,Euthanasia,Dog,Spayed Female,Brownish,2555
7182,A712744,2015-12-21,Adoption,Cat,Neutered Male,Whitish,120
7183,A702160,2015-05-31,Died,Cat,Intact Male,Brownish,30
7184,A711841,2015-09-17,Transfer,Dog,Neutered Male,Blackish,150
7185,A694513,2015-01-02,Adoption,Cat,Neutered Male,Other,60
7186,A707113,2015-09-12,Adoption,Cat,Spayed Female,Blackish,90
7187,A714721,2015-10-27,Transfer,Cat,Unknown,Brownish,21
7188,A680385,2014-06-05,Return_to_owner,Dog,Neutered Male,Blueish,730
7189,A709299,2015-08-11,Transfer,Cat,Intact Male,Blackish,30
7190,A685975,2014-08-19,Adoption,Dog,Spayed Female,Other,1460
7191,A709656,2015-08-13,Return_to_owner,Dog,Neutered Male,Blackish,180
7192,A683306,2014-07-11,Return_to_owner,Dog,Neutered Male,Brownish,60
7193,A701397,2015-06-09,Adoption,Cat,Neutered Male,Brownish,60
7194,A668392,2013-12-07,Adoption,Dog,Intact Female,Blueish,60
7195,A629363,2014-12-17,Transfer,Dog,Neutered Male,Whitish,2920
7196,A711713,2015-09-23,Transfer,Cat,Intact Male,Other,30
7197,A691453,2015-12-13,Adoption,Dog,Neutered Male,Blackish,2190
7198,A686625,2014-08-24,Transfer,Cat,Intact Male,Blackish,21
7199,A673059,2014-02-21,Adoption,Dog,Neutered Male,Blackish,30
7200,A707897,2015-07-23,Adoption,Dog,Spayed Female,Blackish,90
7201,A682950,2014-08-10,Adoption,Dog,Spayed Female,Brownish,2190
7202,A673635,2014-03-04,Adoption,Dog,Neutered Male,Other,270
7203,A684069,2014-07-19,Transfer,Cat,Intact Female,Brownish,14
7204,A703762,2015-07-10,Transfer,Dog,Neutered Male,Brownish,365
7205,A684451,2014-07-24,Transfer,Cat,Intact Male,Whitish,365
7206,A718133,2015-12-23,Euthanasia,Dog,Unknown,Whitish,5840
7207,A651000,2014-11-15,Return_to_owner,Cat,Neutered Male,Blackish,4745
7208,A681459,2014-06-27,Return_to_owner,Dog,Neutered Male,Brownish,1095
7209,A695475,2015-01-17,Return_to_owner,Dog,Neutered Male,Brownish,1095
7210,A666622,2013-11-11,Adoption,Cat,Spayed Female,Blackish,60
7211,A698874,2015-03-28,Adoption,Dog,Spayed Female,Brownish,300
7212,A708141,2015-08-28,Transfer,Dog,Spayed Female,Brownish,730
7213,A708070,2015-07-22,Transfer,Cat,Intact Female,Other,14
7214,A700566,2015-07-22,Adoption,Cat,Spayed Female,Blueish,90
7215,A684874,2014-11-23,Adoption,Dog,Spayed Female,Brownish,365
7216,A711594,2015-09-13,Transfer,Dog,Intact Male,Other,60
7217,A690483,2014-11-13,Adoption,Dog,Intact Male,Brownish,60
7218,A698789,2015-03-22,Adoption,Dog,Neutered Male,Other,60
7219,A667452,2013-11-22,Adoption,Dog,Neutered Male,Other,1095
7220,A665342,2013-12-31,Adoption,Dog,Neutered Male,Brownish,210
7221,A690269,2015-01-27,Adoption,Dog,Spayed Female,Other,330
7222,A666473,2013-11-07,Adoption,Dog,Spayed Female,Blackish,1095
7223,A689794,2014-10-21,Euthanasia,Dog,Neutered Male,Blackish,730
7224,A681505,2014-06-26,Adoption,Cat,Neutered Male,Brownish,60
7225,A667195,2014-02-17,Adoption,Dog,Spayed Female,Blackish,2555
7226,A691207,2014-12-05,Transfer,Dog,Spayed Female,Brownish,730
7227,A691280,2014-12-08,Adoption,Cat,Neutered Male,Blackish,60
7228,A693188,2014-12-04,Transfer,Cat,Intact Male,Blueish,365
7229,A656387,2013-10-12,Return_to_owner,Dog,Neutered Male,Other,730
7230,A671596,2014-02-04,Transfer,Dog,Spayed Female,Brownish,120
7231,A681190,2014-08-19,Transfer,Dog,Spayed Female,Whitish,1460
7232,A690431,2015-01-03,Adoption,Cat,Spayed Female,Blackish,90
7233,A666895,2013-12-16,Adoption,Cat,Spayed Female,Brownish,60
7234,A695919,2015-02-01,Adoption,Dog,Neutered Male,Brownish,730
7235,A711741,2015-09-12,Return_to_owner,Dog,Neutered Male,Whitish,1460
7236,A717558,2015-12-28,Transfer,Cat,Spayed Female,Other,60
7237,A674650,2014-03-16,Transfer,Cat,Intact Female,Other,14
7238,A670897,2014-01-17,Return_to_owner,Dog,Neutered Male,Whitish,730
7239,A674007,2014-03-07,Transfer,Dog,Intact Female,Brownish,120
7240,A715134,2015-11-01,Transfer,Cat,Intact Male,Blueish,90
7241,A718683,2016-01-05,Transfer,Cat,Intact Male,Orangeish,90
7242,A702819,2015-05-18,Euthanasia,Cat,Unknown,Blueish,7
7243,A707651,2015-07-21,Adoption,Dog,Spayed Female,Brownish,1095
7244,A667970,2013-11-30,Adoption,Dog,Neutered Male,Brownish,150
7245,A711905,2015-09-17,Adoption,Dog,Spayed Female,Brownish,210
7246,A704993,2015-06-19,Died,Cat,Intact Female,Other,28
7247,A699469,2015-04-03,Transfer,Dog,Spayed Female,Blackish,60
7248,A690387,2014-10-20,Transfer,Cat,Intact Male,Blackish,365
7249,A665225,2013-10-19,Adoption,Dog,Spayed Female,Brownish,60
7250,A671027,2014-02-06,Adoption,Dog,Spayed Female,Whitish,1095
7251,A694956,2015-01-30,Adoption,Dog,Neutered Male,Whitish,365
7252,A691749,2014-11-13,Adoption,Dog,Spayed Female,Blackish,60
7253,A714816,2015-11-03,Transfer,Cat,Intact Male,Blueish,28
7254,A704297,2015-06-03,Euthanasia,Cat,Intact Male,Blackish,30
7255,A685575,2014-08-12,Return_to_owner,Dog,Neutered Male,Whitish,150
7256,A706200,2015-06-26,Return_to_owner,Dog,Neutered Male,Blackish,120
7257,A707817,2015-07-19,Transfer,Cat,Intact Female,Brownish,120
7258,A709694,2015-08-12,Euthanasia,Cat,Intact Female,Brownish,365
7259,A701319,2015-05-04,Adoption,Cat,Spayed Female,Blackish,1095
7260,A714196,2015-11-04,Transfer,Cat,Neutered Male,Blackish,2555
7261,A700388,2015-04-14,Transfer,Cat,Intact Male,Orangeish,1095
7262,A701530,2015-08-11,Return_to_owner,Cat,Spayed Female,Brownish,730
7263,A699342,2015-03-26,Return_to_owner,Dog,Spayed Female,Blackish,1095
7264,A668607,2014-06-17,Transfer,Dog,Neutered Male,Blackish,730
7265,A694647,2015-01-20,Adoption,Dog,Neutered Male,Blackish,300
7266,A708049,2015-08-03,Adoption,Cat,Neutered Male,Orangeish,60
7267,A709372,2015-08-09,Adoption,Dog,Spayed Female,Brownish,3650
7268,A694872,2015-01-05,Euthanasia,Cat,Intact Female,Whitish,2920
7269,A673972,2014-03-10,Died,Dog,Neutered Male,Other,3650
7270,A669482,2013-12-27,Adoption,Dog,Neutered Male,Brownish,1825
7271,A708388,2015-07-28,Transfer,Cat,Intact Male,Blueish,150
7272,A678315,2014-05-18,Transfer,Dog,Intact Female,Blackish,4380
7273,A715323,2015-11-30,Transfer,Dog,Spayed Female,Blackish,730
7274,A666423,2013-11-01,Euthanasia,Dog,Intact Female,Other,730
7275,A669054,2013-12-18,Transfer,Cat,Spayed Female,Blueish,365
7276,A669181,2013-12-18,Adoption,Dog,Neutered Male,Blackish,60
7277,A684079,2014-07-23,Adoption,Dog,Spayed Female,Other,60
7278,A627376,2015-07-21,Adoption,Dog,Neutered Male,Brownish,2190
7279,A668503,2013-12-06,Transfer,Cat,Unknown,Orangeish,730
7280,A667008,2013-11-24,Adoption,Cat,Intact Female,Blueish,60
7281,A720854,2016-02-20,Transfer,Dog,Neutered Male,Brownish,2555
7282,A681246,2014-07-03,Adoption,Cat,Intact Male,Brownish,60
7283,A667329,2013-11-21,Adoption,Cat,Neutered Male,Orangeish,120
7284,A654782,2013-10-09,Adoption,Dog,Spayed Female,Whitish,330
7285,A699834,2015-04-09,Return_to_owner,Dog,Spayed Female,Other,730
7286,A705611,2015-06-24,Transfer,Dog,Intact Female,Whitish,90
7287,A678314,2014-05-22,Adoption,Dog,Neutered Male,Other,1095
7288,A713406,2015-10-08,Transfer,Cat,Intact Male,Brownish,28
7289,A700364,2015-05-17,Adoption,Cat,Neutered Male,Orangeish,60
7290,A664742,2013-10-11,Return_to_owner,Dog,Spayed Female,Blackish,1460
7291,A701395,2015-06-24,Transfer,Cat,Spayed Female,Blackish,60
7292,A672192,2014-05-22,Adoption,Cat,Neutered Male,Orangeish,90
7293,A677338,2014-04-25,Transfer,Dog,Intact Female,Brownish,30
7294,A669135,2013-12-18,Transfer,Cat,Intact Female,Other,30
7295,A688881,2014-09-29,Adoption,Dog,Neutered Male,Other,300
7296,A693670,2014-12-28,Transfer,Dog,Intact Male,Brownish,180
7297,A692883,2015-01-09,Return_to_owner,Dog,Spayed Female,Whitish,270
7298,A689496,2014-10-04,Euthanasia,Dog,Intact Male,Whitish,3650
7299,A692132,2014-11-21,Transfer,Dog,Neutered Male,Brownish,120
7300,A678590,2014-05-17,Adoption,Dog,Neutered Male,Other,60
7301,A701742,2015-05-07,Return_to_owner,Dog,Intact Male,Brownish,4380
7302,A714320,2015-12-18,Adoption,Cat,Spayed Female,Other,730
7303,A704121,2015-06-03,Transfer,Dog,Spayed Female,Other,730
7304,A658625,2014-01-19,Adoption,Cat,Neutered Male,Brownish,3285
7305,A536757,2015-06-21,Return_to_owner,Dog,Spayed Female,Other,2920
7306,A684436,2014-08-24,Transfer,Dog,Spayed Female,Blackish,365
7307,A703541,2015-05-30,Transfer,Dog,Intact Male,Blackish,60
7308,A676549,2014-04-17,Transfer,Dog,Intact Female,Whitish,240
7309,A690041,2014-11-08,Adoption,Cat,Spayed Female,Orangeish,60
7310,A656767,2014-10-09,Return_to_owner,Dog,Spayed Female,Brownish,730
7311,A685624,2014-08-12,Return_to_owner,Dog,Intact Female,Brownish,1095
7312,A710335,2015-09-05,Died,Cat,Intact Male,Blueish,30
7313,A616126,2014-04-27,Return_to_owner,Dog,Neutered Male,Whitish,730
7314,A627576,2015-02-14,Transfer,Dog,Neutered Male,Brownish,730
7315,A705306,2015-06-16,Transfer,Cat,Intact Female,Brownish,300
7316,A618687,2015-05-20,Euthanasia,Dog,Neutered Male,Blackish,4380
7317,A667591,2013-12-19,Adoption,Dog,Spayed Female,Blackish,365
7318,A720186,2016-02-05,Transfer,Dog,Intact Female,Blackish,4380
7319,A712904,2015-09-29,Transfer,Cat,Intact Male,Brownish,7
7320,A680852,2014-07-26,Adoption,Dog,Neutered Male,Blackish,90
7321,A697877,2015-03-09,Transfer,Dog,Intact Female,Other,3650
7322,A682017,2015-04-23,Transfer,Dog,Neutered Male,Blackish,365
7323,A688761,2014-09-23,Transfer,Cat,Intact Female,Other,7
7324,A684161,2014-07-24,Adoption,Dog,Spayed Female,Blackish,90
7325,A701368,2015-04-29,Transfer,Dog,Intact Female,Blackish,1095
7326,A715202,2015-11-06,Transfer,Dog,Intact Female,Whitish,1095
7327,A691471,2015-02-15,Transfer,Dog,Intact Male,Brownish,730
7328,A712862,2015-10-06,Transfer,Dog,Neutered Male,Blackish,2555
7329,A684570,2014-10-18,Adoption,Cat,Neutered Male,Blueish,90
7330,A705260,2015-06-17,Return_to_owner,Dog,Spayed Female,Whitish,730
7331,A652198,2014-07-06,Adoption,Dog,Spayed Female,Brownish,730
7332,A664169,2014-03-27,Adoption,Dog,Neutered Male,Other,730
7333,A671199,2014-01-28,Adoption,Dog,Neutered Male,Blackish,60
7334,A664071,2013-10-09,Transfer,Cat,Neutered Male,Whitish,90
7335,A659352,2014-02-08,Adoption,Cat,Spayed Female,Blackish,365
7336,A715857,2015-11-15,Transfer,Cat,Intact Male,Brownish,730
7337,A715736,2015-11-10,Transfer,Cat,Unknown,Blueish,300
7338,A709539,2015-09-08,Adoption,Dog,Spayed Female,Other,1460
7339,A652104,2015-11-22,Return_to_owner,Dog,Neutered Male,Brownish,1095
7340,A671067,2014-01-21,Adoption,Dog,Spayed Female,Brownish,90
7341,A702693,2015-05-16,Transfer,Cat,Unknown,Orangeish,14
7342,A693687,2015-03-27,Euthanasia,Dog,Neutered Male,Other,365
7343,A564774,2015-02-15,Return_to_owner,Dog,Spayed Female,Brownish,2190
7344,A685699,2014-10-02,Adoption,Cat,Spayed Female,Blackish,2920
7345,A675619,2014-04-05,Adoption,Dog,Neutered Male,Brownish,730
7346,A696544,2015-03-04,Adoption,Dog,Spayed Female,Blackish,730
7347,A719753,2016-01-30,Return_to_owner,Dog,Spayed Female,Other,365
7348,A672529,2014-02-16,Transfer,Dog,Spayed Female,Whitish,90
7349,A671673,2014-01-29,Transfer,Cat,Intact Male,Blueish,730
7350,A668596,2013-12-13,Return_to_owner,Dog,Intact Female,Other,28
7351,A694104,2014-12-26,Transfer,Cat,Neutered Male,Brownish,2555
7352,A703208,2015-05-26,Adoption,Cat,Intact Male,Blueish,30
7353,A690225,2014-10-16,Return_to_owner,Dog,Neutered Male,Blackish,3650
7354,A685599,2014-08-13,Adoption,Dog,Neutered Male,Other,365
7355,A663764,2013-10-05,Adoption,Dog,Spayed Female,Blueish,730
7356,A719677,2016-01-25,Transfer,Dog,Intact Male,Other,1095
7357,A715244,2015-11-29,Adoption,Cat,Neutered Male,Other,4745
7358,A688142,2014-09-16,Return_to_owner,Dog,Neutered Male,Brownish,365
7359,A674899,2014-03-25,Return_to_owner,Dog,Intact Male,Blueish,365
7360,A691990,2014-11-30,Transfer,Dog,Spayed Female,Other,365
7361,A709092,2015-08-10,Adoption,Dog,Neutered Male,Brownish,240
7362,A709872,2015-08-21,Adoption,Dog,Spayed Female,Other,240
7363,A681905,2014-07-11,Adoption,Cat,Intact Female,Blackish,60
7364,A670487,2014-02-16,Adoption,Dog,Spayed Female,Brownish,2190
7365,A685685,2014-08-18,Adoption,Dog,Neutered Male,Blackish,1460
7366,A706411,2015-07-03,Adoption,Dog,Spayed Female,Other,150
7367,A564102,2014-07-08,Transfer,Cat,Spayed Female,Other,1825
7368,A711429,2015-09-27,Adoption,Dog,Neutered Male,Blackish,730
7369,A694307,2014-12-27,Transfer,Dog,Intact Female,Brownish,2
7370,A664158,2013-10-02,Transfer,Dog,Intact Male,Whitish,30
7371,A695173,2015-01-31,Adoption,Cat,Spayed Female,Other,5110
7372,A690090,2014-10-20,Transfer,Cat,Intact Male,Blackish,365
7373,A690905,2014-12-17,Adoption,Cat,Spayed Female,Other,90
7374,A690030,2014-10-18,Adoption,Cat,Neutered Male,Orangeish,60
7375,A714134,2015-10-19,Adoption,Dog,Spayed Female,Whitish,365
7376,A717828,2016-02-06,Adoption,Dog,Neutered Male,Blackish,30
7377,A704748,2015-06-13,Return_to_owner,Dog,Intact Female,Brownish,1460
7378,A688684,2014-09-23,Transfer,Cat,Intact Male,Brownish,150
7379,A690765,2014-11-07,Euthanasia,Dog,Intact Male,Other,1825
7380,A674902,2014-03-24,Euthanasia,Dog,Intact Female,Whitish,150
7381,A673709,2014-02-28,Euthanasia,Cat,Unknown,Brownish,365
7382,A693204,2014-12-04,Transfer,Cat,Neutered Male,Other,1095
7383,A714571,2015-10-26,Transfer,Cat,Unknown,Blueish,730
7384,A702741,2015-06-03,Return_to_owner,Dog,Intact Female,Brownish,730
7385,A651737,2014-01-31,Return_to_owner,Dog,Spayed Female,Blackish,3285
7386,A657945,2013-10-13,Adoption,Dog,Spayed Female,Blackish,730
7387,A708146,2015-08-29,Adoption,Cat,Spayed Female,Blackish,60
7388,A688454,2014-10-18,Adoption,Cat,Neutered Male,Blackish,30
7389,A667943,2013-11-29,Adoption,Dog,Spayed Female,Blackish,240
7390,A702437,2015-06-23,Adoption,Cat,Spayed Female,Other,60
7391,A691567,2014-11-10,Adoption,Dog,Neutered Male,Brownish,60
7392,A704964,2015-06-11,Transfer,Cat,Unknown,Other,28
7393,A697928,2015-04-22,Adoption,Cat,Neutered Male,Orangeish,60
7394,A720298,2016-02-10,Return_to_owner,Dog,Neutered Male,Whitish,90
7395,A665755,2013-12-01,Adoption,Dog,Spayed Female,Blueish,730
7396,A685880,2015-02-18,Adoption,Dog,Spayed Female,Brownish,365
7397,A698475,2015-05-23,Adoption,Dog,Spayed Female,Brownish,1825
7398,A714803,2015-10-28,Return_to_owner,Dog,Spayed Female,Whitish,730
7399,A606532,2014-10-27,Return_to_owner,Dog,Neutered Male,Other,1460
7400,A704977,2015-06-29,Adoption,Cat,Intact Female,Blackish,60
7401,A673624,2014-03-07,Adoption,Cat,Spayed Female,Brownish,730
7402,A702127,2015-07-08,Adoption,Cat,Neutered Male,Orangeish,60
7403,A686549,2014-08-24,Transfer,Cat,Intact Male,Orangeish,4
7404,A709977,2015-09-26,Adoption,Cat,Spayed Female,Brownish,365
7405,A700113,2015-04-12,Transfer,Dog,Intact Female,Other,210
7406,A675096,2014-08-24,Adoption,Dog,Spayed Female,Blueish,730
7407,A716796,2015-12-05,Adoption,Dog,Spayed Female,Brownish,365
7408,A711409,2015-09-07,Transfer,Cat,Intact Female,Blueish,300
7409,A682839,2014-07-07,Return_to_owner,Dog,Spayed Female,Other,1095
7410,A679727,2014-05-29,Return_to_owner,Dog,Neutered Male,Other,365
7411,A683536,2014-07-11,Transfer,Cat,Intact Female,Brownish,3
7412,A694884,2015-02-03,Adoption,Dog,Spayed Female,Whitish,365
7413,A716274,2015-11-21,Adoption,Dog,Spayed Female,Other,365
7414,A681805,2014-07-29,Adoption,Dog,Neutered Male,Other,300
7415,A701608,2015-05-03,Transfer,Cat,Unknown,Blueish,365
7416,A679234,2014-05-26,Return_to_owner,Dog,Intact Male,Blackish,730
7417,A693600,2014-12-15,Adoption,Dog,Spayed Female,Blackish,60
7418,A707978,2015-10-08,Transfer,Cat,Spayed Female,Blueish,90
7419,A707669,2015-07-20,Adoption,Cat,Intact Male,Brownish,60
7420,A720690,2016-02-18,Adoption,Dog,Neutered Male,Other,150
7421,A650619,2015-12-14,Adoption,Dog,Neutered Male,Other,2920
7422,A709474,2015-08-09,Transfer,Dog,Intact Female,Other,30
7423,A702599,2015-05-29,Adoption,Dog,Neutered Male,Other,90
7424,A709131,2015-09-18,Transfer,Dog,Neutered Male,Other,730
7425,A686138,2014-08-22,Adoption,Dog,Neutered Male,Brownish,300
7426,A707639,2015-07-24,Adoption,Cat,Neutered Male,Other,365
7427,A682819,2014-07-08,Transfer,Dog,Neutered Male,Other,730
7428,A671569,2014-01-27,Return_to_owner,Dog,Spayed Female,Brownish,1460
7429,A704379,2015-06-08,Adoption,Dog,Neutered Male,Blackish,300
7430,A688741,2014-10-05,Transfer,Cat,Intact Female,Other,30
7431,A681261,2014-06-15,Transfer,Cat,Intact Female,Blackish,90
7432,A707629,2015-07-24,Adoption,Dog,Neutered Male,Blackish,60
7433,A687096,2014-09-05,Adoption,Dog,Spayed Female,Other,90
7434,A677233,2014-04-23,Return_to_owner,Dog,Neutered Male,Brownish,730
7435,A710603,2015-08-29,Adoption,Dog,Spayed Female,Brownish,365
7436,A686254,2014-08-25,Adoption,Cat,Neutered Male,Orangeish,120
7437,A685511,2014-08-11,Transfer,Cat,Intact Male,Blackish,60
7438,A666319,2013-11-09,Euthanasia,Cat,Spayed Female,Other,2920
7439,A694719,2015-01-06,Return_to_owner,Dog,Neutered Male,Brownish,5840
7440,A680780,2014-09-03,Euthanasia,Dog,Spayed Female,Blackish,730
7441,A702484,2015-06-25,Adoption,Cat,Spayed Female,Other,2920
7442,A694521,2015-01-07,Adoption,Dog,Spayed Female,Brownish,1095
7443,A669725,2014-01-07,Transfer,Dog,Neutered Male,Whitish,730
7444,A686535,2014-08-24,Transfer,Cat,Intact Male,Blackish,240
7445,A685610,2014-08-14,Transfer,Dog,Spayed Female,Whitish,365
7446,A691734,2014-12-20,Adoption,Cat,Spayed Female,Blueish,1825
7447,A714278,2015-12-15,Adoption,Cat,Spayed Female,Blackish,90
7448,A695622,2015-01-20,Transfer,Cat,Unknown,Brownish,365
7449,A685068,2014-08-14,Adoption,Cat,Intact Female,Blueish,30
7450,A643733,2015-02-17,Return_to_owner,Dog,Neutered Male,Blackish,2555
7451,A700051,2015-04-09,Transfer,Cat,Unknown,Brownish,3
7452,A692542,2014-12-11,Transfer,Dog,Neutered Male,Blackish,730
7453,A620318,2014-04-28,Return_to_owner,Dog,Neutered Male,Blackish,730
7454,A617558,2014-12-13,Return_to_owner,Dog,Neutered Male,Blackish,1095
7455,A672614,2014-02-17,Adoption,Dog,Spayed Female,Brownish,300
7456,A691849,2014-11-14,Adoption,Dog,Spayed Female,Other,2555
7457,A680069,2014-06-09,Transfer,Cat,Intact Female,Blackish,30
7458,A427808,2014-07-16,Return_to_owner,Dog,Spayed Female,Other,4745
7459,A690927,2014-10-28,Euthanasia,Cat,Intact Female,Blackish,30
7460,A661260,2014-01-20,Adoption,Dog,Neutered Male,Brownish,1825
7461,A692355,2014-11-25,Transfer,Cat,Intact Female,Other,240
7462,A665794,2013-11-23,Adoption,Dog,Spayed Female,Brownish,2555
7463,A693288,2014-12-09,Adoption,Cat,Spayed Female,Brownish,60
7464,A682298,2014-06-30,Transfer,Cat,Intact Female,Blackish,365
7465,A719440,2016-02-02,Return_to_owner,Dog,Neutered Male,Blackish,1095
7466,A719661,2016-01-26,Euthanasia,Cat,Intact Female,Blueish,180
