,AnimalID,Date,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
1741,A664559,2013-10-25,Adoption,Dog,Intact Male,1 year,Australian Shepherd/Rhod Ridgeback,Black/Red
1742,A678272,2014-07-13,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
1743,A672193,2014-06-09,Euthanasia,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby
1744,A669930,2014-01-25,Adoption,Dog,Neutered Male,2 years,Cardigan Welsh Corgi Mix,Brown/White
1745,A666166,2013-11-22,Euthanasia,Dog,Intact Male,2 years,Boxer Mix,Brown
1746,A684644,2014-07-27,Transfer,Cat,Unknown,1 year,Domestic Shorthair Mix,Orange Tabby
1747,A692955,2015-01-24,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
1748,A679264,2014-05-18,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Torbie
1749,A705774,2015-06-22,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,White/Brown Tabby
1750,A699549,2015-03-29,Euthanasia,Dog,Intact Male,3 years,Chihuahua Shorthair/Dachshund,White/Black
1751,A711400,2015-09-07,Return_to_owner,Dog,Spayed Female,1 year,Siberian Husky Mix,Red/White
1752,A704681,2015-06-15,Return_to_owner,Dog,Neutered Male,2 years,Boxer Mix,Brown Brindle/White
1753,A667558,2013-11-23,Transfer,Dog,Spayed Female,7 years,Cardigan Welsh Corgi Mix,Blue Merle
1754,A686907,2014-08-28,Transfer,Cat,Intact Male,1 day,Domestic Shorthair Mix,Blue Tabby
1755,A708884,2015-08-01,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
1756,A681226,2014-12-21,Return_to_owner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown/White
1757,A713852,2015-10-18,Adoption,Cat,Intact Female,2 months,Domestic Shorthair Mix,Orange Tabby/White
1758,A704178,2015-06-10,Adoption,Dog,Spayed Female,2 months,Chow Chow/Pit Bull,Tan/White
1759,A307592,2014-06-14,Adoption,Cat,Neutered Male,12 years,Domestic Longhair Mix,Orange Tabby/White
1760,A664078,2013-10-04,Adoption,Dog,Neutered Male,10 months,Pointer Mix,Black/White
1761,A679840,2014-06-01,Adoption,Dog,Spayed Female,2 months,Chihuahua Shorthair/Cardigan Welsh Corgi,Tan/White
1762,A526237,2013-11-16,Return_to_owner,Dog,Spayed Female,6 years,Australian Kelpie/Pit Bull,Brown/White
1763,A682283,2014-07-12,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
1764,A667607,2013-11-26,Transfer,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby/White
1765,A704756,2015-07-02,Transfer,Dog,Spayed Female,8 months,Labrador Retriever Mix,Brown
1766,A677620,2014-05-13,Adoption,Dog,Neutered Male,1 month,Border Collie Mix,White/Black Brindle
1767,A691573,2014-11-21,Transfer,Dog,Spayed Female,1 year,German Shepherd Mix,Tan/Black
1768,A673655,2015-07-18,Adoption,Dog,Neutered Male,2 years,Dachshund/Chihuahua Shorthair,Chocolate/White
1769,A704929,2015-08-07,Adoption,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Blue Tabby
1770,A687417,2014-09-08,Adoption,Dog,Neutered Male,6 months,Chihuahua Shorthair/Miniature Pinscher,Tan/Black
1771,A667332,2013-11-18,Transfer,Cat,Unknown,2 years,Domestic Shorthair Mix,Brown Tabby
1772,A702501,2015-05-18,Return_to_owner,Dog,Spayed Female,2 years,Pit Bull/Boxer,Tan/White
1773,A677447,2014-06-19,Adoption,Dog,Neutered Male,3 years,Chow Chow/Basset Hound,Brown
1774,A676159,2014-04-11,Transfer,Dog,Intact Female,1 year,Great Pyrenees,White
1775,A716175,2015-11-22,Adoption,Dog,Spayed Female,2 years,Miniature Pinscher Mix,Brown/Black
1776,A679198,2014-05-21,Transfer,Dog,Intact Female,3 years,Chihuahua Shorthair Mix,Tan
1777,A687057,2014-08-31,Transfer,Cat,Intact Female,5 months,Domestic Shorthair Mix,Calico
1778,A453933,2014-05-30,Return_to_owner,Dog,Neutered Male,11 years,Labrador Retriever Mix,Cream
1779,A710002,2015-08-15,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue Tabby
1780,A701810,2015-05-05,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Gray Tabby
1781,A682460,2014-07-03,Adoption,Dog,Spayed Female,2 years,Bruss Griffon/Yorkshire Terrier,Tricolor
1782,A674337,2014-04-02,Transfer,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black
1783,A694157,2015-01-25,Adoption,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Blue/White
1784,A688106,2014-09-21,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair,Black
1785,A694655,2015-01-03,Return_to_owner,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
1786,A680916,2014-06-17,Adoption,Dog,Spayed Female,3 years,Great Pyrenees Mix,White
1787,A718052,2015-12-23,Return_to_owner,Dog,Neutered Male,5 months,American Bulldog Mix,Brown Brindle/White
1788,A689085,2014-10-09,Transfer,Dog,Neutered Male,1 year,American Bulldog/Labrador Retriever,White/Blue
1789,A669931,2014-01-13,Adoption,Dog,Neutered Male,6 years,Australian Shepherd Mix,Black/Brown
1790,A717515,2015-12-10,Return_to_owner,Dog,Spayed Female,2 years,Pekingese/Jack Russell Terrier,Tan/White
1791,A662264,2013-12-28,Adoption,Dog,Neutered Male,2 years,Pit Bull Mix,Black Brindle/White
1792,A677256,2014-04-22,Return_to_owner,Dog,Neutered Male,3 years,Weimaraner Mix,Gray
1793,A704401,2015-07-04,Transfer,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
1794,A686526,2014-08-23,Transfer,Cat,Intact Male,4 days,Domestic Shorthair Mix,Brown Tabby
1795,A713180,2015-10-07,Transfer,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black/White
1796,A693966,2014-12-27,Return_to_owner,Dog,Intact Female,2 weeks,Pit Bull Mix,Blue/White
1797,A669910,2014-02-10,Transfer,Dog,Intact Male,1 month,Pit Bull Mix,White/Brown Brindle
1798,A712788,2015-11-13,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
1799,A714686,2015-10-31,Transfer,Dog,Spayed Female,3 years,Miniature Poodle Mix,White
1800,A708596,2015-08-02,Adoption,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,White/Brown
1801,A700491,2015-04-18,Transfer,Cat,Neutered Male,15 years,Domestic Longhair Mix,Black/White
1802,A683295,2014-08-19,Adoption,Cat,Spayed Female,2 months,Siamese Mix,Lynx Point
1803,A687075,2014-09-03,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby
1804,A695991,2015-02-08,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Brown
1805,A676868,2014-05-23,Adoption,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Calico
1806,A719227,2016-01-18,Transfer,Dog,Intact Male,3 months,Labrador Retriever Mix,Black/White
1807,A666586,2013-11-05,Transfer,Cat,Unknown,1 year,Domestic Shorthair Mix,Orange Tabby
1808,A692265,2014-11-17,Transfer,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black
1809,A680321,2014-06-05,Transfer,Dog,Neutered Male,1 year,Boston Terrier Mix,Black/White
1810,A708092,2015-07-23,Euthanasia,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black
1811,A674949,2014-03-23,Transfer,Dog,Spayed Female,3 months,Jack Russell Terrier Mix,White/Brown
1812,A712357,2015-09-23,Transfer,Cat,Intact Female,5 months,Domestic Shorthair Mix,Calico
1813,A696995,2015-03-12,Transfer,Dog,Neutered Male,12 years,Cardigan Welsh Corgi Mix,Blue Merle
1814,A681039,2014-06-11,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black
1815,A697186,2015-02-20,Transfer,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby/White
1816,A631184,2014-11-23,Return_to_owner,Dog,Neutered Male,8 years,Pit Bull Mix,Black/White
1817,A688678,2014-09-28,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Black/White
1818,A679237,2014-05-21,Transfer,Dog,Intact Male,4 months,Chihuahua Shorthair Mix,Chocolate/Tan
1819,A690565,2014-10-22,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby/White
1820,A681821,2014-07-08,Transfer,Cat,Intact Female,1 year,Domestic Medium Hair Mix,Brown Tabby/White
1821,A711484,2015-09-08,Transfer,Cat,Intact Female,2 years,Domestic Longhair Mix,Blue Tabby
1822,A685408,2014-08-23,Adoption,Dog,Neutered Male,1 year,Dachshund Mix,Red/White
1823,A664729,2013-10-13,Transfer,Dog,Neutered Male,5 years,Boston Terrier Mix,Black/White
1824,A670653,2014-09-03,Adoption,Cat,Spayed Female,10 months,Domestic Shorthair Mix,Brown Tabby/White
1825,A712999,2015-10-10,Return_to_owner,Dog,Neutered Male,6 years,German Shepherd Mix,Sable/Brown
1826,A662603,2013-11-26,Euthanasia,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black
1827,A692505,2014-11-25,Transfer,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Black/White
1828,A689063,2014-09-29,Transfer,Dog,Intact Female,1 month,Flat Coat Retriever/Pit Bull,Blue/White
1829,A710186,2015-08-29,Adoption,Dog,Spayed Female,3 years,Staffordshire Mix,Blue/White
1830,A704953,2016-01-19,Return_to_owner,Dog,Spayed Female,4 years,Pit Bull Mix,Chocolate/White
1831,A696174,2015-12-16,Adoption,Cat,Neutered Male,1 year,Domestic Shorthair,Brown Tabby
1832,A666615,2014-06-06,Adoption,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Tan/White
1833,A699706,2015-04-19,Transfer,Dog,Neutered Male,4 years,Pit Bull Mix,Tan/White
1834,A671603,2014-02-01,Adoption,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown/White
1835,A691066,2014-11-12,Transfer,Dog,Spayed Female,2 years,Siberian Husky Mix,White/Black
1836,A683706,2014-09-01,Adoption,Cat,Spayed Female,2 months,Domestic Longhair Mix,Black/White
1837,A669767,2014-01-01,Transfer,Dog,Intact Male,2 months,Labrador Retriever Mix,Black/White
1838,A699046,2015-03-24,Return_to_owner,Dog,Spayed Female,2 years,Labrador Retriever Mix,Chocolate
1839,A688773,2014-10-20,Transfer,Dog,Neutered Male,5 years,Shih Tzu Mix,White/Brown
1840,A700016,2015-04-12,Transfer,Dog,Intact Male,2 years,Australian Shepherd Mix,Black/Tricolor
1841,A691601,2014-11-20,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
1842,A689680,2014-10-15,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Black/White
1843,A665004,2013-10-15,Return_to_owner,Dog,Neutered Male,9 years,Skye Terrier Mix,Black/Gray
1844,A707420,2015-07-19,Transfer,Dog,Spayed Female,3 years,Pug Mix,Brown
1845,A664285,2013-10-02,Died,Cat,Intact Male,1 day,Domestic Shorthair Mix,Black
1846,A620613,2014-06-29,Adoption,Dog,Neutered Male,5 years,German Shepherd Mix,Brown/Tan
1847,A706864,2015-07-11,Adoption,Dog,Spayed Female,2 years,Australian Kelpie Mix,Black/White
1848,A706453,2015-07-03,Euthanasia,Dog,Intact Male,7 years,Treeing Walker Coonhound Mix,Tricolor
1849,A665446,2013-10-25,Transfer,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black/White
1850,A682078,2014-06-24,Died,Cat,Unknown,1 year,Domestic Medium Hair Mix,Black/White
1851,A661386,2013-11-10,Adoption,Dog,Spayed Female,1 year,Labrador Retriever/Great Pyrenees,Black
1852,A695418,2015-01-16,Transfer,Cat,Intact Male,4 months,Domestic Medium Hair Mix,Orange Tabby
1853,A685438,2014-08-22,Adoption,Dog,Spayed Female,3 years,Dachshund Mix,Black/Tan
1854,A683023,2014-07-07,Transfer,Cat,Unknown,2 years,Domestic Shorthair Mix,Orange Tabby/White
1855,A668255,2013-12-02,Return_to_owner,Dog,Neutered Male,2 years,Boston Terrier Mix,Brown Brindle/White
1856,A687148,2014-09-05,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
1857,A693244,2014-12-05,Return_to_owner,Dog,Neutered Male,3 years,Boxer Mix,Brown/White
1858,A685751,2014-08-17,Adoption,Dog,Spayed Female,4 months,Collie Smooth Mix,Tricolor
1859,A689537,2014-10-12,Adoption,Dog,Spayed Female,10 months,Pointer Mix,Tan/White
1860,A705445,2015-06-21,Adoption,Dog,Neutered Male,2 years,Norwich Terrier Mix,Brown
1861,A678213,2014-08-02,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
1862,A701646,2015-05-25,Transfer,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black/White
1863,A698319,2015-03-13,Adoption,Dog,Spayed Female,4 years,Silky Terrier Mix,Silver/Tan
1864,A695506,2015-04-30,Transfer,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby
1865,A711837,2015-09-17,Transfer,Dog,Intact Male,1 month,German Shepherd Mix,Tan
1866,A687118,2014-09-01,Return_to_owner,Dog,Spayed Female,6 years,Airedale Terrier Mix,Sable
1867,A681436,2014-07-12,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Cream Tabby
1868,A698699,2015-03-21,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
1869,A701734,2015-09-16,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White
1870,A668553,2013-12-26,Adoption,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Calico
1871,A701456,2015-06-13,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
1872,A694986,2015-01-15,Transfer,Dog,Neutered Male,6 years,Dachshund Mix,Black/White
1873,A698457,2015-03-14,Transfer,Dog,Intact Male,2 months,Great Pyrenees,White
1874,A676928,2014-06-15,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
1875,A719533,2016-01-27,Adoption,Dog,Neutered Male,1 year,Black Mouth Cur Mix,Brown
1876,A630671,2015-05-09,Adoption,Dog,Neutered Male,3 years,Pit Bull Mix,Blue/White
1877,A715302,2015-11-03,Euthanasia,Cat,Intact Male,1 year,Domestic Shorthair Mix,Blue
1878,A694714,2015-03-16,Adoption,Dog,Neutered Male,3 years,Shetland Sheepdog/Border Collie,Black/White
1879,A678688,2014-05-28,Adoption,Dog,Spayed Female,8 years,Chow Chow Mix,Red
1880,A679728,2014-06-16,Transfer,Cat,Spayed Female,3 years,Domestic Shorthair Mix,White
1881,A677193,2014-08-31,Adoption,Dog,Neutered Male,2 years,Dachshund Mix,Tan
1882,A673113,2014-03-16,Adoption,Dog,Spayed Female,5 years,Maltese,White
1883,A683746,2014-07-25,Transfer,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Brown Tabby
1884,A670421,2014-01-10,Transfer,Dog,Intact Female,2 years,Shih Tzu,Black/White
1885,A675645,2014-05-03,Transfer,Cat,Intact Male,2 years,Domestic Longhair Mix,Orange Tabby/White
1886,A709255,2015-08-13,Adoption,Dog,Spayed Female,3 months,Chihuahua Shorthair Mix,Brown/White
1887,A675770,2014-04-01,Return_to_owner,Dog,Neutered Male,10 years,Labrador Retriever Mix,Black/White
1888,A714514,2015-12-10,Transfer,Cat,Neutered Male,2 years,Domestic Medium Hair Mix,Black/White
1889,A676104,2014-04-04,Return_to_owner,Dog,Intact Male,1 year,Mastiff Mix,Black
1890,A697170,2015-05-28,Adoption,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,White/Black
1891,A692633,2014-12-08,Adoption,Dog,Neutered Male,6 months,Black/Tan Hound Mix,Black/Tan
1892,A695492,2015-03-06,Transfer,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Black/White
1893,A704700,2015-06-08,Euthanasia,Cat,Neutered Male,2 years,Domestic Medium Hair Mix,Black
1894,A675352,2014-03-28,Euthanasia,Dog,Intact Female,6 years,Chihuahua Shorthair Mix,Brown
1895,A485674,2014-12-29,Adoption,Dog,Neutered Male,9 years,Miniature Schnauzer,White
1896,A672113,2014-02-14,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Blue Tabby
1897,A708243,2015-08-31,Adoption,Dog,Neutered Male,3 years,Pit Bull Mix,Blue/White
1898,A667518,2013-11-23,Return_to_owner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie
1899,A700543,2015-04-19,Adoption,Dog,Neutered Male,1 year,Shiba Inu Mix,White/Brown
1900,A692356,2014-11-25,Transfer,Cat,Intact Male,4 months,Domestic Shorthair Mix,Brown Tabby
1901,A704978,2015-06-11,Transfer,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Brown Tabby
1902,A695551,2015-01-20,Euthanasia,Dog,Intact Male,4 months,Dachshund Wirehair Mix,Brown/Black
1903,A704320,2015-06-05,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby/White
1904,A706169,2015-06-25,Return_to_owner,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,White
1905,A685976,2014-12-06,Adoption,Dog,Neutered Male,4 years,Pembroke Welsh Corgi,Tricolor
1906,A711412,2015-09-07,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Black/White
1907,A700696,2015-05-16,Adoption,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Blue/White
1908,A697842,2015-05-05,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
1909,A689624,2014-11-10,Euthanasia,Dog,Neutered Male,3 years,Pit Bull Mix,White/Blue
1910,A680268,2014-06-01,Return_to_owner,Dog,Neutered Male,9 years,German Shepherd Mix,Black/Tan
1911,A718364,2016-01-24,Adoption,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black
1912,A669046,2013-12-17,Return_to_owner,Dog,Spayed Female,1 year,Dachshund Mix,White/Blue Merle
1913,A682115,2014-06-28,Transfer,Dog,Intact Female,2 months,Doberman Pinsch Mix,Black/Tan
1914,A695664,2015-01-30,Return_to_owner,Dog,Neutered Male,1 year,American Pit Bull Terrier Mix,White
1915,A708738,2015-11-29,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico
1916,A669842,2014-01-03,Transfer,Dog,Intact Male,2 years,German Shepherd/Chow Chow,Black/Brown
1917,A674941,2014-03-20,Transfer,Cat,Intact Female,1 day,Domestic Shorthair Mix,Brown Tabby
1918,A681247,2014-07-10,Adoption,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Brown Tabby
1919,A704946,2015-06-12,Transfer,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby
1920,A713768,2015-11-23,Adoption,Dog,Neutered Male,3 years,Labrador Retriever Mix,Brown
1921,A705987,2015-07-05,Return_to_owner,Dog,Neutered Male,1 year,American Staffordshire Terrier Mix,Blue/White
1922,A681461,2014-06-17,Return_to_owner,Dog,Intact Female,10 years,Cocker Spaniel Mix,Black
1923,A708131,2015-07-27,Adoption,Dog,Neutered Male,6 months,Dachshund Mix,Red
1924,A712590,2015-10-15,Died,Cat,Intact Male,1 month,Domestic Shorthair Mix,Cream Tabby
1925,A675334,2014-04-16,Adoption,Cat,Spayed Female,1 year,Manx Mix,Calico/Brown Tabby
1926,A666654,2014-05-01,Adoption,Dog,Spayed Female,3 years,Catahoula Mix,Brown/White
1927,A504813,2014-12-01,Return_to_owner,Dog,Spayed Female,9 years,Yorkshire Terrier,Tan/Silver
1928,A718600,2016-01-04,Return_to_owner,Dog,Intact Female,3 years,Pit Bull Mix,Tan
1929,A680441,2014-06-06,Adoption,Dog,Spayed Female,2 months,Dachshund Mix,Red/White
1930,A664507,2013-10-10,Transfer,Dog,Intact Female,10 months,Dachshund/Chihuahua Shorthair,Brown/Tan
1931,A705637,2015-06-19,Transfer,Dog,Unknown,6 months,Boxer Mix,White
1932,A652796,2015-02-18,Adoption,Dog,Neutered Male,3 years,Miniature Schnauzer,Silver/Black
1933,A678068,2014-05-07,Transfer,Dog,Neutered Male,2 years,Cairn Terrier Mix,Brown
1934,A716947,2015-12-12,Adoption,Dog,Spayed Female,1 year,Labrador Retriever/Beagle,Yellow
1935,A716004,2015-12-27,Transfer,Dog,Neutered Male,11 months,Labrador Retriever/Pit Bull,Tan/White
1936,A706424,2015-06-28,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue/White
1937,A517675,2015-09-20,Adoption,Dog,Spayed Female,11 years,Australian Cattle Dog,White/Black
1938,A700435,2015-04-17,Adoption,Dog,Neutered Male,2 months,Australian Cattle Dog Mix,Tricolor
1939,A691121,2014-11-11,Transfer,Dog,Spayed Female,1 year,Miniature Schnauzer/Soft Coated Wheaten Terrier,Gray/White
1940,A701201,2015-05-23,Transfer,Dog,Neutered Male,1 year,Rottweiler/German Shepherd,Black/Tan
1941,A693745,2015-01-22,Adoption,Dog,Spayed Female,6 months,Plott Hound Mix,Brown Brindle
1942,A679067,2014-07-13,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
1943,A707255,2015-07-13,Euthanasia,Dog,Spayed Female,13 years,Border Collie Mix,Tricolor
1944,A692263,2014-11-25,Transfer,Cat,Intact Male,2 years,Domestic Shorthair Mix,Black
1945,A708955,2015-08-07,Adoption,Dog,Neutered Male,4 months,Plott Hound Mix,Tan/White
1946,A706170,2015-06-25,Return_to_owner,Dog,Intact Male,2 years,Pit Bull Mix,Black/White
1947,A706464,2015-08-17,Adoption,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Brindle/White
1948,A717613,2015-12-15,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby
1949,A707772,2015-07-18,Return_to_owner,Dog,Intact Female,1 year,Yorkshire Terrier Mix,Sable
1950,A687309,2014-09-07,Transfer,Dog,Neutered Male,4 months,Miniature Poodle Mix,Cream
1951,A685901,2014-08-16,Transfer,Cat,Intact Female,4 months,Ragdoll Mix,Tortie Point
1952,A459845,2014-05-05,Return_to_owner,Cat,Spayed Female,7 years,Snowshoe/Ragdoll,Seal Point/White
1953,A676581,2014-04-13,Return_to_owner,Dog,Spayed Female,9 years,Miniature Schnauzer Mix,Silver
1954,A712659,2016-02-02,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,White/Gray
1955,A674617,2014-03-23,Transfer,Dog,Neutered Male,3 months,German Shepherd/Australian Cattle Dog,Red Tick/White
1956,A382251,2014-11-08,Return_to_owner,Dog,Spayed Female,10 years,Shetland Sheepdog Mix,Brown/White
1957,A711043,2015-09-08,Transfer,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Torbie
1958,A668869,2013-12-11,Return_to_owner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Silver Tabby
1959,A679667,2014-06-17,Transfer,Dog,Neutered Male,1 month,German Shepherd Mix,Black/Brown
1960,A675517,2014-05-16,Adoption,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White
1961,A682789,2014-07-07,Adoption,Dog,Spayed Female,2 years,Queensland Heeler Mix,Black/White
1962,A709554,2015-08-14,Adoption,Dog,Neutered Male,2 years,Yorkshire Terrier Mix,Tan/Blue
1963,A679578,2014-07-13,Adoption,Dog,Neutered Male,2 years,American Bulldog Mix,Black/White
1964,A711151,2015-09-18,Transfer,Cat,Spayed Female,5 months,Domestic Medium Hair Mix,Tortie
1965,A694396,2015-01-04,Transfer,Dog,Neutered Male,7 months,Labrador Retriever/Boxer,Tan/White
1966,A676216,2014-04-10,Adoption,Dog,Neutered Male,2 months,German Shepherd Mix,Sable
1967,A671590,2014-02-01,Adoption,Dog,Neutered Male,8 months,Australian Shepherd Mix,Blue Merle/Tan
1968,A630325,2014-11-17,Adoption,Dog,Spayed Female,5 years,Bull Terrier Mix,Red/White
1969,A665215,2013-10-18,Return_to_owner,Dog,Intact Female,6 months,Beagle Mix,Tricolor
1970,A718390,2016-01-08,Transfer,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Orange Tabby
1971,A693970,2014-12-27,Return_to_owner,Dog,Intact Female,2 weeks,Pit Bull Mix,Blue/White
1972,A668336,2013-12-02,Transfer,Dog,Intact Female,1 month,Pit Bull Mix,Black/White
1973,A668173,2013-12-05,Transfer,Dog,Spayed Female,1 year,German Shepherd,Brown/Black
1974,A688060,2014-09-17,Adoption,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,Chocolate/White
1975,A687774,2015-09-02,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black
1976,A669068,2013-12-16,Adoption,Dog,Spayed Female,3 months,Labrador Retriever Mix,Black
1977,A709365,2015-09-12,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
1978,A685769,2014-08-14,Transfer,Dog,Intact Female,3 months,Pit Bull Mix,Black/White
1979,A690202,2014-10-16,Return_to_owner,Dog,Spayed Female,6 years,German Shorthair Pointer Mix,Liver/White
1980,A699719,2015-07-06,Return_to_owner,Dog,Neutered Male,5 months,Schnauzer Giant Mix,Black
1981,A675032,2014-03-28,Adoption,Dog,Spayed Female,2 months,Miniature Schnauzer Mix,Gray/White
1982,A666080,2013-11-06,Return_to_owner,Dog,Spayed Female,8 years,Border Collie Mix,Black
1983,A702272,2015-05-17,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan/White
1984,A721108,2016-02-21,Return_to_owner,Dog,Neutered Male,1 year,Beagle/Labrador Retriever,Chocolate/White
1985,A707454,2015-07-18,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Cream Tabby/White
1986,A701418,2015-11-07,Adoption,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,Black/Brown
1987,A700458,2015-04-14,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Orange Tabby
1988,A675903,2014-07-08,Adoption,Dog,Spayed Female,1 year,Border Collie Mix,Black/White
1989,A708711,2015-07-30,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie
1990,A709916,2015-09-28,Adoption,Cat,Neutered Male,7 months,Domestic Medium Hair,Orange Tabby
1991,A669870,2014-01-13,Adoption,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Red Merle
1992,A686215,2014-10-03,Transfer,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White/Black
1993,A709864,2015-08-25,Transfer,Dog,Spayed Female,1 year,Black Mouth Cur Mix,Tan
1994,A670495,2014-03-31,Adoption,Dog,Neutered Male,2 years,Chihuahua Shorthair/Cardigan Welsh Corgi,Brown/White
1995,A670407,2014-04-25,Adoption,Dog,Neutered Male,3 years,Pit Bull Mix,Brown Brindle/White
1996,A687582,2014-12-01,Adoption,Dog,Spayed Female,8 months,Labrador Retriever Mix,Black
1997,A680895,2014-06-13,Return_to_owner,Dog,Neutered Male,5 years,Labrador Retriever Mix,Yellow/White
1998,A686530,2014-09-17,Adoption,Dog,Neutered Male,1 year,Border Collie/Labrador Retriever,White/Tan
1999,A668056,2013-12-01,Transfer,Dog,Neutered Male,1 year,Chihuahua Shorthair/Pug,Blue/Tan
2000,A663802,2013-10-12,Adoption,Dog,Neutered Male,1 year,Labrador Retriever/Border Collie,Black/White
2001,A699917,2015-04-08,Adoption,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White
2002,A668214,2013-12-08,Adoption,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,Blue Tick/Black
2003,A686887,2014-10-24,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Torbie/White
